user_name,tweet_id,user_location,user_description,user_created,user_followers,user_friends,user_favourites,user_verified,date,text,hashtags,source,is_retweet,word
Ms. Marie Sifuentes,1.63941E+18,"Dallas, TX","Airbnb Superhost, Cuban Coffee Maker, Fashionista, Inclusionist, Innovator, Latina, Mom, Notary Public, Ordained Minister, Visionary Leader & Women Advocate",2016-10-22 15:29:02+00:00,10341,4290,44460,FALSE,2023-03-24 23:29:35+00:00,RT @_bersays: What a BLAST! @Melissa_D33 @MsMarieDotCom @vanessalozano88 🙏❤️🎉🤩🤗🥳😁😝 &amp; Cathy and Bev! #TeamMagenta https://t.co/IJbTHMqZiE,['TeamMagenta'],Twitter for iPhone,FALSE,D33
tennifer✨,1.6394E+18,"Louisiana, USA",here for entertainment purposes only ✨🏳️‍🌈 they/them,2016-05-29 04:04:08+00:00,365,220,190995,FALSE,2023-03-24 22:39:51+00:00,RT @JoshuaPHilll: Lol conservatives want to be oppressed so bad. No one on earth actually thinks that pic on the right is counterculture ht…,,Twitter for iPhone,FALSE,D33
kanna,1.63939E+18,,食が好き🍷/Italia🇮🇹/食べ歩き/格闘技/Breaking Down /reggae🇯🇲/soccer⚽️PSG /POKER🃏♢♤♡♧ /supreme/Powerspot⛩//eFootball™🏃// 超自由人。なんとかなる精神で生きてマス。 よろしくお願いします✌️,2022-02-06 23:48:54+00:00,55,511,18072,FALSE,2023-03-24 22:22:05+00:00,RT @kskgroup2017: We have to fix some defensive parts from last night ⚽️,,Twitter for iPhone,FALSE,D33
CLYDEE 🐾🏆┊˚ ̥۪͙۪ DNI NSFW,1.63939E+18,✩ he/they/xe +  🇨🇱 ₓ˚ Fickin,🌈 ₓ˚. proshitters dni and d/e!! ┊14yo adhdtistic 💫┊⋆ OSC ★┊🏳️‍⚧️ artist┊MaMP ₓ˚. pfp: frickinrye - ̥۪ not matching anymore but FOLLOW  @sodabfdi ⋆ ★,2021-01-08 18:29:12+00:00,592,332,19895,FALSE,2023-03-24 22:14:31+00:00,RT @miou2192: did this confuse/anger any other autistic kids or was it just me https://t.co/Xs7hdBUSWq,,Twitter for Android,FALSE,D33
D33Mari3,1.63939E+18,New Jersey,UConn fan #BleedBlue.. If you don’t like what I have to say on my page remove yourself,2011-06-06 01:33:09+00:00,162,452,1619,FALSE,2023-03-24 22:09:23+00:00,What team do y’all think gonna win Utah or LSU,,Twitter for iPhone,FALSE,D33
D33Mari3,1.63938E+18,New Jersey,UConn fan #BleedBlue.. If you don’t like what I have to say on my page remove yourself,2011-06-06 01:33:09+00:00,162,452,1619,FALSE,2023-03-24 21:32:21+00:00,@BizerkJerk They don’t wanna win the game,,Twitter for iPhone,FALSE,D33
D33Mari3,1.63938E+18,New Jersey,UConn fan #BleedBlue.. If you don’t like what I have to say on my page remove yourself,2011-06-06 01:33:09+00:00,162,452,1619,FALSE,2023-03-24 21:25:37+00:00,What in the hell do the coach have on 🤦🏽‍♀️,,Twitter for iPhone,FALSE,D33
Dee Gallagher😝,1.63937E+18,"Buffalo, NY",What’sFashion? Shop with me🔥        👻deedaddy_baby                                FB: Dee Gallagher  IG:itssdee_babyyyy🌚,2012-01-05 15:47:56+00:00,1990,1264,26629,FALSE,2023-03-24 21:08:26+00:00,If i do anything tn it’ll be like slick willies I don’t wana go out out,,Twitter for iPhone,FALSE,D33
Senor X,1.63937E+18,,,2022-11-15 15:57:07+00:00,92,2498,9109,FALSE,2023-03-24 21:04:03+00:00,"RT @th_l_t_d_: Patton famously said ""we defeated the wrong enemy,"" shortly before he ""mysteriously"" died in a car accident.

Churchill is a…",,Twitter Web App,FALSE,D33
B Wood,1.63937E+18,Bron-Yr-Aur,"Same Beast, New Day",2018-03-06 04:52:42+00:00,2131,616,81819,FALSE,2023-03-24 21:00:09+00:00,"RT @th_l_t_d_: Patton famously said ""we defeated the wrong enemy,"" shortly before he ""mysteriously"" died in a car accident.

Churchill is a…",,Twitter for iPad,FALSE,D33
