user_name,tweet_id,user_location,user_description,user_created,user_followers,user_friends,user_favourites,user_verified,date,text,hashtags,source,is_retweet,word
Bradfield College,1.64065E+18,"Bradfield, Berkshire, UK","Founded in 1850 by Thomas Stevens amidst unspoilt Berkshire countryside, we are one of the country's leading co-educational, independent schools.",2014-04-04 09:16:48+00:00,3457,604,3482,FALSE,2023-03-28 09:26:38+00:00,"RT @BradfieldCCC: Boys win by 9 wickets scoring 154. Great knock on debut by Artie (A) with 66* , Harris (G) finishes 24* and Grinham (A) m…",,Twitter for iPhone,FALSE,Dubai2023
THE BLOCKOPEDIA,1.64062E+18,,An independent publication house which believes in bringing light to the hidden secrets of the blockchain industry.,2021-11-07 15:30:35+00:00,10136,273,156,FALSE,2023-03-28 07:52:57+00:00,"👉 Over 2,000 leaders in the blockchain industry gathered under one roof for the 24th edition of World Blockchain Su… https://t.co/6MGIah5Uim",,Twitter Web App,FALSE,Dubai2023
AdvCancer Research,1.64038E+18,Dubai | UAE,AdvCancer 2023: Fighting cancer with innovative research and treatments. Improving patient outcomes and advancing oncology. Join us in the fight against cancer.,2023-03-16 16:19:14+00:00,8,152,0,FALSE,2023-03-27 15:38:20+00:00,Submit your latest cancer research findings &amp; innovative approaches to the International Conference on Innovations… https://t.co/QKXkT1xeFu,,Twitter Web App,FALSE,Dubai2023
Simon Negus,1.64036E+18,Berkshire,"Dad to three wonderful children, Chairman of Ascot Utd FC, FMCG commercial consultant…",2010-03-14 23:58:44+00:00,238,321,2495,FALSE,2023-03-27 14:33:15+00:00,"RT @BradfieldCCC: Boys win by 9 wickets scoring 154. Great knock on debut by Artie (A) with 66* , Harris (G) finishes 24* and Grinham (A) m…",,Twitter for iPhone,FALSE,Dubai2023
Bradfield Cricket,1.64036E+18,"Bradfield,  Reading, UK",Bradfield College Cricket Club #Dubai23 Live Stream for today’s game https://t.co/Ip7M9VTZYa?,2012-02-01 11:05:39+00:00,241,25,11,FALSE,2023-03-27 14:16:52+00:00,"Boys win by 9 wickets scoring 154. Great knock on debut by Artie (A) with 66* , Harris (G) finishes 24* and Grinham… https://t.co/JZ0z09EYQN",,Twitter for iPhone,FALSE,Dubai2023
Bradfield College,1.64031E+18,"Bradfield, Berkshire, UK","Founded in 1850 by Thomas Stevens amidst unspoilt Berkshire countryside, we are one of the country's leading co-educational, independent schools.",2014-04-04 09:16:48+00:00,3457,604,3482,FALSE,2023-03-27 11:25:44+00:00,"RT @BradfieldCCC: Boys are chasing 152 to win after bowling out Winchester in the last over of their 40. Not a bad place, @SevensStadium, t…",,Twitter Web App,FALSE,Dubai2023
Bradfield Cricket,1.64031E+18,"Bradfield,  Reading, UK",Bradfield College Cricket Club #Dubai23 Live Stream for today’s game https://t.co/Ip7M9VTZYa?,2012-02-01 11:05:39+00:00,241,25,11,FALSE,2023-03-27 11:08:35+00:00,"Boys are chasing 152 to win after bowling out Winchester in the last over of their 40. Not a bad place,… https://t.co/Wcp7OSjS6e",,Twitter for iPhone,FALSE,Dubai2023
COLDWELL BANKER SWAP,1.64025E+18,Rawdat Al Wasl Building Showro,"Coldwell Banker UAE - Swap Real Estate offers a variety of services ranging from seller/owner services, property management services.",2021-07-08 12:13:57+00:00,27,117,5,FALSE,2023-03-27 07:17:34+00:00,"Launching Soon!✨
At one of our most loved communities at Dubai Hills Estate. On Golf Course ⛳️⛳️… https://t.co/mqONk6d3JH",,Twitter Web App,FALSE,Dubai2023
Bradfield Cricket,1.6399E+18,"Bradfield,  Reading, UK",Bradfield College Cricket Club #Dubai23 Live Stream for today’s game https://t.co/Ip7M9VTZYa?,2012-02-01 11:05:39+00:00,241,25,11,FALSE,2023-03-26 07:41:05+00:00,🏏U15 tour progress… Bradfield to Heathrow ✅ Check in ✅ Security ✅ Boarding ✅ See you soon Abu Dhabi! Many thanks ag… https://t.co/axHLPzSjMW,,Twitter for iPhone,FALSE,Dubai2023
Josh™|⍌|ATP|🌏TOP🔟|➪5️⃣|ⁱᵐMedCare&COUCH🎾|my💬,1.63975E+18,✈️🌍🇪🇺wien🇦🇹🇸🇰|✫prag🇨🇿,"🌏🎾😷✈️☕♉|SportMED|✇RUBLO| withмFRIEND&player| |@AndreyRublev97|12🏆🏅|#PEACEANDLOVE|#HOPE|♡
@MattJAFFEMusic🎵❤@NUESTRODEH|📖🎞Δrt|ⁱᵐMD,PhD🩺🇺🇸🇬🇧|Neurosci",2009-10-05 20:15:37+00:00,14229,14170,508982,FALSE,2023-03-25 22:08:13+00:00,"RT @jozefnovak: ▫️#GREATJOB #Dubai2023🇦🇪
#FINAL🎾
uve great #value &amp; u deserve #better, #ourtennislife #wearethechamps, #stillhigher
im wher…","['GREATJOB', 'Dubai2023', 'FINAL', 'value', 'better', 'ourtennislife', 'wearethechamps', 'stillhigher']",Twitter for Android,FALSE,Dubai2023
